,N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NumObservationsBelowDetect,NearMedianDetectionLimit,skewnessCategory,distributionCategory,changeRPD,percentOriginal
0,n=5,0.1,28.6,20.71617161961027,42.2017815494666,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,0.0,22.727272727272727
1,n=5,0.25,36.0,37.828850893462764,43.04283646706101,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,0.0,22.727272727272727
2,n=5,0.5,85.0,101.75269835855211,43.184795629830084,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,0.0,22.727272727272727
3,n=5,0.75,118.0,307.3120943710049,58.18441052008054,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,0.0,22.727272727272727
4,n=5,0.9,442.30000000000007,701.2521402118242,86.07162566232192,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,0.0,22.727272727272727
5,n=10,0.1,23.1,6.61929952884027,19.617159082805248,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,22.584622466661354,45.45454545454545
6,n=10,0.25,31.5,14.225782395690556,23.032361658296,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,20.010474808765007,45.45454545454545
7,n=10,0.5,78.25,27.031818611311934,26.93635709181975,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,16.248438538010333,45.45454545454545
8,n=10,0.75,154.0,161.82355148317953,38.42311885324771,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,19.761291666832832,45.45454545454545
9,n=10,0.9,667.9999999999998,441.5202045830632,56.75341909300429,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,29.31820656931763,45.45454545454545
10,n=15,0.1,22.2,3.770153348677624,12.951812578584795,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,6.665346504220453,68.18181818181817
11,n=15,0.25,32.5,7.685371876608415,14.17740241783493,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,8.85495924046107,68.18181818181817
12,n=15,0.5,85.0,15.393178485542728,16.74110246766008,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,10.19525462415967,68.18181818181817
13,n=15,0.75,163.5,98.68607174527224,27.86429674119789,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,10.558822112049818,68.18181818181817
14,n=15,0.9,673.8,299.52634040737667,39.56312611401566,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,17.19029297898863,68.18181818181817
15,n=20,0.1,20.7,1.938156511049262,5.750751244944386,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,7.201061333640409,90.9090909090909
16,n=20,0.25,30.0,2.092146482397352,6.27942360767806,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,7.89797881015687,90.9090909090909
17,n=20,0.5,78.5,6.371480402940131,5.821728722491408,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,10.919373745168674,90.9090909090909
18,n=20,0.75,172.25,12.207320840963776,5.171015142255748,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,22.693281598942143,90.9090909090909
19,n=20,0.9,778.7000000000008,100.43126983505384,12.007495149633044,1980780486_CA,Inflow,TSS,22,0,0,heavy_right_skew,IGAMMA,27.555630964382615,90.9090909090909
