EMC,Location,Analyte,Flow,Run
23,-1242007014_CO,TSS,Outflow,1
26,-1242007014_CO,TSS,Outflow,1
110,-1242007014_CO,TSS,Outflow,1
12,-1242007014_CO,TSS,Outflow,1
9,-1242007014_CO,TSS,Outflow,1
20,-1242007014_CO,TSS,Outflow,1
47,-1242007014_CO,TSS,Outflow,1
13,-1242007014_CO,TSS,Outflow,1
531,-1242007014_CO,TSS,Outflow,1
25,-1242007014_CO,TSS,Outflow,1
5,-1242007014_CO,TSS,Outflow,2
110,-1242007014_CO,TSS,Outflow,2
531,-1242007014_CO,TSS,Outflow,2
27,-1242007014_CO,TSS,Outflow,2
27,-1242007014_CO,TSS,Outflow,2
9,-1242007014_CO,TSS,Outflow,2
12,-1242007014_CO,TSS,Outflow,2
19,-1242007014_CO,TSS,Outflow,2
13,-1242007014_CO,TSS,Outflow,2
20,-1242007014_CO,TSS,Outflow,2
22,-1242007014_CO,TSS,Outflow,3
23,-1242007014_CO,TSS,Outflow,3
47,-1242007014_CO,TSS,Outflow,3
27,-1242007014_CO,TSS,Outflow,3
20,-1242007014_CO,TSS,Outflow,3
12,-1242007014_CO,TSS,Outflow,3
5,-1242007014_CO,TSS,Outflow,3
13,-1242007014_CO,TSS,Outflow,3
25,-1242007014_CO,TSS,Outflow,3
9,-1242007014_CO,TSS,Outflow,3
27,-1242007014_CO,TSS,Outflow,4
6,-1242007014_CO,TSS,Outflow,4
5,-1242007014_CO,TSS,Outflow,4
26,-1242007014_CO,TSS,Outflow,4
23,-1242007014_CO,TSS,Outflow,4
47,-1242007014_CO,TSS,Outflow,4
110,-1242007014_CO,TSS,Outflow,4
19,-1242007014_CO,TSS,Outflow,4
13,-1242007014_CO,TSS,Outflow,4
22,-1242007014_CO,TSS,Outflow,4
47,-1242007014_CO,TSS,Outflow,5
12,-1242007014_CO,TSS,Outflow,5
6,-1242007014_CO,TSS,Outflow,5
20,-1242007014_CO,TSS,Outflow,5
13,-1242007014_CO,TSS,Outflow,5
22,-1242007014_CO,TSS,Outflow,5
9,-1242007014_CO,TSS,Outflow,5
531,-1242007014_CO,TSS,Outflow,5
19,-1242007014_CO,TSS,Outflow,5
26,-1242007014_CO,TSS,Outflow,5
27,-1242007014_CO,TSS,Outflow,6
