EMC,Location,Analyte,Flow,Run
2.505000114440918,-986553804_PA,Copper,Outflow,1
1.25,-986553804_PA,Copper,Outflow,1
6.800424098968506,-986553804_PA,Copper,Outflow,1
1.25,-986553804_PA,Copper,Outflow,1
0.8615000247955322,-986553804_PA,Copper,Outflow,1
1.25,-986553804_PA,Copper,Outflow,1
4.840000152587891,-986553804_PA,Copper,Outflow,1
12.63000011444092,-986553804_PA,Copper,Outflow,1
19.05999946594238,-986553804_PA,Copper,Outflow,1
1.25,-986553804_PA,Copper,Outflow,1
1.25,-986553804_PA,Copper,Outflow,1
10.91899967193604,-986553804_PA,Copper,Outflow,1
1.25,-986553804_PA,Copper,Outflow,1
1.25,-986553804_PA,Copper,Outflow,1
5.170000076293945,-986553804_PA,Copper,Outflow,1
1.25,-986553804_PA,Copper,Outflow,2
12.63000011444092,-986553804_PA,Copper,Outflow,2
1.25,-986553804_PA,Copper,Outflow,2
1.25,-986553804_PA,Copper,Outflow,2
8.739999771118164,-986553804_PA,Copper,Outflow,2
1.25,-986553804_PA,Copper,Outflow,2
56.03219985961914,-986553804_PA,Copper,Outflow,2
1.25,-986553804_PA,Copper,Outflow,2
0.8615000247955322,-986553804_PA,Copper,Outflow,2
10.91899967193604,-986553804_PA,Copper,Outflow,2
3.905247211456299,-986553804_PA,Copper,Outflow,2
1.25,-986553804_PA,Copper,Outflow,2
1.25,-986553804_PA,Copper,Outflow,2
1.25,-986553804_PA,Copper,Outflow,2
2.505000114440918,-986553804_PA,Copper,Outflow,2
1.25,-986553804_PA,Copper,Outflow,3
1.25,-986553804_PA,Copper,Outflow,3
0.8615000247955322,-986553804_PA,Copper,Outflow,3
1.25,-986553804_PA,Copper,Outflow,3
56.03219985961914,-986553804_PA,Copper,Outflow,3
1.25,-986553804_PA,Copper,Outflow,3
1.25,-986553804_PA,Copper,Outflow,3
9.0,-986553804_PA,Copper,Outflow,3
1.25,-986553804_PA,Copper,Outflow,3
1.25,-986553804_PA,Copper,Outflow,3
1.125,-986553804_PA,Copper,Outflow,3
1.25,-986553804_PA,Copper,Outflow,3
6.110000133514404,-986553804_PA,Copper,Outflow,3
4.840000152587891,-986553804_PA,Copper,Outflow,3
10.91899967193604,-986553804_PA,Copper,Outflow,3
1.25,-986553804_PA,Copper,Outflow,4
1.25,-986553804_PA,Copper,Outflow,4
1.25,-986553804_PA,Copper,Outflow,4
6.110000133514404,-986553804_PA,Copper,Outflow,4
1.25,-986553804_PA,Copper,Outflow,4
5.170000076293945,-986553804_PA,Copper,Outflow,4
1.25,-986553804_PA,Copper,Outflow,4
9.0,-986553804_PA,Copper,Outflow,4
56.03219985961914,-986553804_PA,Copper,Outflow,4
6.800424098968506,-986553804_PA,Copper,Outflow,4
12.63000011444092,-986553804_PA,Copper,Outflow,4
8.739999771118164,-986553804_PA,Copper,Outflow,4
7.006199836730957,-986553804_PA,Copper,Outflow,4
1.25,-986553804_PA,Copper,Outflow,4
10.91899967193604,-986553804_PA,Copper,Outflow,4
1.25,-986553804_PA,Copper,Outflow,5
1.25,-986553804_PA,Copper,Outflow,5
1.25,-986553804_PA,Copper,Outflow,5
1.25,-986553804_PA,Copper,Outflow,5
1.25,-986553804_PA,Copper,Outflow,5
10.91899967193604,-986553804_PA,Copper,Outflow,5
3.905247211456299,-986553804_PA,Copper,Outflow,5
1.25,-986553804_PA,Copper,Outflow,5
12.63000011444092,-986553804_PA,Copper,Outflow,5
19.05999946594238,-986553804_PA,Copper,Outflow,5
1.25,-986553804_PA,Copper,Outflow,5
9.0,-986553804_PA,Copper,Outflow,5
56.03219985961914,-986553804_PA,Copper,Outflow,5
1.125,-986553804_PA,Copper,Outflow,5
5.170000076293945,-986553804_PA,Copper,Outflow,5
56.03219985961914,-986553804_PA,Copper,Outflow,6
1.25,-986553804_PA,Copper,Outflow,6
7.006199836730957,-986553804_PA,Copper,Outflow,6
1.25,-986553804_PA,Copper,Outflow,6
1.25,-986553804_PA,Copper,Outflow,6
9.0,-986553804_PA,Copper,Outflow,6
8.739999771118164,-986553804_PA,Copper,Outflow,6
0.8615000247955322,-986553804_PA,Copper,Outflow,6
1.25,-986553804_PA,Copper,Outflow,6
4.840000152587891,-986553804_PA,Copper,Outflow,6
1.25,-986553804_PA,Copper,Outflow,6
19.05999946594238,-986553804_PA,Copper,Outflow,6
1.125,-986553804_PA,Copper,Outflow,6
1.25,-986553804_PA,Copper,Outflow,6
12.63000011444092,-986553804_PA,Copper,Outflow,6
10.91899967193604,-986553804_PA,Copper,Outflow,7
56.03219985961914,-986553804_PA,Copper,Outflow,7
1.25,-986553804_PA,Copper,Outflow,7
8.739999771118164,-986553804_PA,Copper,Outflow,7
19.05999946594238,-986553804_PA,Copper,Outflow,7
7.006199836730957,-986553804_PA,Copper,Outflow,7
1.25,-986553804_PA,Copper,Outflow,7
1.25,-986553804_PA,Copper,Outflow,7
1.25,-986553804_PA,Copper,Outflow,7
1.25,-986553804_PA,Copper,Outflow,7
3.905247211456299,-986553804_PA,Copper,Outflow,7
36.86999893188477,-986553804_PA,Copper,Outflow,7
1.25,-986553804_PA,Copper,Outflow,7
0.8615000247955322,-986553804_PA,Copper,Outflow,7
12.63000011444092,-986553804_PA,Copper,Outflow,7
7.006199836730957,-986553804_PA,Copper,Outflow,8
19.05999946594238,-986553804_PA,Copper,Outflow,8
1.25,-986553804_PA,Copper,Outflow,8
8.739999771118164,-986553804_PA,Copper,Outflow,8
9.0,-986553804_PA,Copper,Outflow,8
1.25,-986553804_PA,Copper,Outflow,8
0.8615000247955322,-986553804_PA,Copper,Outflow,8
1.125,-986553804_PA,Copper,Outflow,8
1.25,-986553804_PA,Copper,Outflow,8
1.25,-986553804_PA,Copper,Outflow,8
36.86999893188477,-986553804_PA,Copper,Outflow,8
