N,Quartile,median,std,rpd,Location,Flow,Analyte,NumObservations,NearMedianDetectionLimit,NumObservationsBelowDetect,changeRPD,percentOriginal,skewnessCategory,skewnessValue,coefficientOfVariation,averageAnnualMonthsSampled,inductionRatio,distributionCategory,RainZone
n=5,0.1,3.6500000000000004,0.9347034078040446,22.705485621903403,1708200120_CO,Inflow,Copper,96,0,0,0.0,5.208333333333334,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=5,0.25,4.199999809265137,1.2885349853202697,21.062715608792903,1708200120_CO,Inflow,Copper,96,0,0,0.0,5.208333333333334,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=5,0.5,5.400000095367432,1.8512565228140625,22.574548925910225,1708200120_CO,Inflow,Copper,96,0,0,0.0,5.208333333333334,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=5,0.75,7.4000000953674325,2.5965536741980486,27.314838113367962,1708200120_CO,Inflow,Copper,96,0,0,0.0,5.208333333333334,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=5,0.9,9.879999923706055,22.705693422787167,38.136272773237685,1708200120_CO,Inflow,Copper,96,0,0,0.0,5.208333333333334,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=10,0.1,3.33000009059906,0.5934812817967831,14.100187608326491,1708200120_CO,Inflow,Copper,96,0,0,8.605298013576911,10.416666666666668,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=10,0.25,4.049999982118607,0.7311439584329188,13.421636506248689,1708200120_CO,Inflow,Copper,96,0,0,7.641079102544214,10.416666666666668,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=10,0.5,5.25,1.146871999255181,15.228254836971256,1708200120_CO,Inflow,Copper,96,0,0,7.3462940889389685,10.416666666666668,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=10,0.75,7.562499940395355,1.971596985216104,20.65752396599242,1708200120_CO,Inflow,Copper,96,0,0,6.657314147375541,10.416666666666668,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=10,0.9,10.340000343322757,5.6522685976359766,29.005205129455288,1708200120_CO,Inflow,Copper,96,0,0,9.131067643782398,10.416666666666668,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=15,0.1,3.240000009536743,0.43031761322658296,10.49326571573517,1708200120_CO,Inflow,Copper,96,0,0,3.6069218925913216,15.625,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=15,0.25,4.049999952316284,0.5285384305410756,10.501588102228713,1708200120_CO,Inflow,Copper,96,0,0,2.920048404019976,15.625,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=15,0.5,5.300000190734863,0.8144142335444995,10.794979419799922,1708200120_CO,Inflow,Copper,96,0,0,4.433275417171334,15.625,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=15,0.75,7.774999976158143,1.5678015920572235,16.976562509485486,1708200120_CO,Inflow,Copper,96,0,0,3.6809614565069353,15.625,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=15,0.9,10.820000267028805,2.328425739416596,17.91866955078669,1708200120_CO,Inflow,Copper,96,0,0,11.086535578668599,15.625,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=20,0.1,3.1600000381469733,0.3725343830765158,8.701652025852255,1708200120_CO,Inflow,Copper,96,0,0,1.7916136898829151,20.833333333333336,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=20,0.25,4.049999833106995,0.4646822615759746,9.251762576351753,1708200120_CO,Inflow,Copper,96,0,0,1.2498255258769593,20.833333333333336,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=20,0.5,5.300000190734863,0.7155647985238263,9.834152957625147,1708200120_CO,Inflow,Copper,96,0,0,0.9608264621747757,20.833333333333336,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=20,0.75,7.949999809265138,1.4448945878476938,14.885425551363591,1708200120_CO,Inflow,Copper,96,0,0,2.0911369581218953,20.833333333333336,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=20,0.9,11.309999847412115,2.112033029267383,14.964377212928234,1708200120_CO,Inflow,Copper,96,0,0,2.9542923378584547,20.833333333333336,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=25,0.1,3.160000038146973,0.3024121690670505,7.199776007173199,1708200120_CO,Inflow,Copper,96,0,0,1.5018760186790558,26.041666666666668,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=25,0.25,4.0,0.40470671586805734,8.13079193374512,1708200120_CO,Inflow,Copper,96,0,0,1.1209706426066326,26.041666666666668,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
n=25,0.5,5.199999809265137,0.614209128187458,8.59222369206654,1708200120_CO,Inflow,Copper,96,0,0,1.241929265558607,26.041666666666668,heavy_right_skew,9.02098082935801,1.8826314425249624,4,64.34782742101892,BCCGo,9
